,gene_1,gene_2,HG_pval,rank
4060,EGR1_negation,STAT6_negation,3.9780532555428375e-11,291
4117,ESR1_negation,SP3_negation,3.994441682681519e-11,292
3877,CEBPA_negation,NFKB1_negation,3.994441682681519e-11,293
1953,ING4,SP2,3.994441682681519e-11,294
3865,CEBPA_negation,EZH2_negation,3.994441682681519e-11,295
3886,CEBPA_negation,SP3_negation,3.994441682681519e-11,296
1966,ING4,CEBPA_negation,3.994441682681519e-11,297
3888,CEBPA_negation,SPI1_negation,3.994441682681519e-11,298
2856,PPARA,SP2,3.994441682681519e-11,299
1583,HDAC4,SP2,3.994441682681519e-11,300
3306,SP2,EZH2_negation,3.994441682681519e-11,301
3078,RFX1,SP2,3.994441682681519e-11,302
3298,SP2,CEBPD_negation,3.994441682681519e-11,303
618,CEBPE,GATA1_negation,4.0278773675979413e-11,304
2577,NPM1,ESR2_negation,4.163248640008151e-11,305
4173,EZH2_negation,SNAI2_negation,4.163248640008151e-11,306
66,ABL1,EZH2_negation,4.2531728248511173e-11,307
4162,EZH2_negation,MEF2A_negation,4.4571150480359833e-11,308
447,ATF4,NFIC_negation,4.6899359648989416e-11,309
4054,EGR1_negation,RUNX1_negation,5.0597222223398656e-11,310
1524,HBP1,EGR1_negation,6.82510666686253e-11,311
2936,PPARD,FOSB_negation,7.020668023278205e-11,312
3200,RFXAP,DDIT3_negation,8.253779436230312e-11,313
4033,EGR1_negation,ESR1_negation,8.60017819542553e-11,314
2119,KLF5,GATA1_negation,9.243910773840843e-11,315
3174,RFX5,SP3_negation,1.0601657301311988e-10,316
4299,HDAC3_negation,SP3_negation,1.0601657301311988e-10,317
4535,SP3_negation,STAT6_negation,1.0601657301311988e-10,318
2907,PPARD,RBMX,1.1618202716106196e-10,319
1408,GATA2,KLF5,1.2650384455525752e-10,320
407,ATF4,PPARD,1.2757296029119485e-10,321
3666,ZNF148,EGR1_negation,1.2757296029119485e-10,322
4371,MEF2A_negation,NFIC_negation,1.2771093753531723e-10,323
4334,HMGN1_negation,NR3C1_negation,1.327080101173229e-10,324
2528,NFYB,NR3C1_negation,1.327080101173229e-10,325
2464,NCOA6,NR3C1_negation,1.327080101173229e-10,326
2333,MITF,NR3C1_negation,1.327080101173229e-10,327
4444,NR3C1_negation,RB1_negation,1.327080101173229e-10,328
173,AHR,NR3C1_negation,1.327080101173229e-10,329
597,CEBPE,TFAP2A,1.3526277350706233e-10,330
1440,GATA2,CDX2_negation,1.3526277350706233e-10,331
1336,GATA1,NPM1,1.5499114331126103e-10,332
1302,FOS,NFIC_negation,1.5499114331126103e-10,333
4461,PARP1_negation,SP3_negation,1.6536648547943202e-10,334
2956,PPARD,SP3_negation,1.6536648547943202e-10,335
4450,NR3C1_negation,STAT1_negation,1.7824791478693432e-10,336
3423,SRF,SNAI2_negation,1.8894599210520222e-10,337
5,ABL1,CEBPE,1.8929623024432275e-10,338
4164,EZH2_negation,NFIC_negation,1.9812698030898226e-10,339
3576,TP63,CEBPA_negation,2.0874179115943922e-10,340
3024,RELA,SP2,2.0874179115943922e-10,341
457,ATF4,SP3_negation,2.0874179115943922e-10,342
1362,GATA1,CEBPA_negation,2.0874179115943922e-10,343
3322,SP2,POU4F2_negation,2.0874179115943922e-10,344
3148,RFX5,DDIT3_negation,2.0874179115943922e-10,345
3318,SP2,NFKB1_negation,2.0874179115943922e-10,346
3153,RFX5,EZH2_negation,2.0874179115943922e-10,347
3702,ZNF383,CEBPA_negation,2.0874179115943922e-10,348
3333,SP2,USF1_negation,2.0874179115943922e-10,349
3207,RFXAP,FOSL2_negation,2.1005687423977796e-10,350
1432,GATA2,TFAP2A,2.1162532595934363e-10,351
