gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
ELK1,0.9999999917273557,0.9999999991936978,145,0.501,-5.701227311846485,4.225407816328445e-08,-4.691315076375362,2.7145455795708975e-06,-0.443876326923124,0.443876326923124,0.102803738317757,0.6590330788804071,1.0
ELK1_negation,0.00028382496724217043,0.002458912706322272,113,-0.249,5.701227311846485,4.225407816328445e-08,4.691315076375362,2.7145455795708975e-06,-0.4438788921643127,0.4438788921643127,0.308411214953271,0.7964376590330788,0.019587948677482505
ELK4,3.696792249884234e-11,7.455143901127549e-10,52,0.376,5.246785048373835,5.337902089652152e-07,5.486031095587598,4.1106456867175123e-08,0.2782368973024293,0.2782368973024293,0.19626168224299065,0.9211195928753181,1.7519588167649742e-08
ELK4_negation,1.0,1.0,0,-0.249,-5.246785048373835,5.337902089652152e-07,-5.486031095587598,4.1106456867175123e-08,0.27823857047966327,0.27823857047966327,0.0,1.0,1.0
ELL,0.9999961603542716,0.9999998048792109,21,0.376,0.24960214901522165,0.8031907320186669,0.12415079312479844,0.9011958821130686,0.010979406393432218,0.010979406393432218,0.037383177570093455,0.9567430025445293,1.0
ELL_negation,0.4801366561095242,0.7780792832363933,0,-0.124,-0.24960214901522165,0.8031907320186669,-0.12415079312479844,0.9011958821130686,0.01097947079106339,0.01097947079106339,0.0,1.0,1.0
EP300,0.5931002388750115,0.8558153028701283,1,0.376,15.532733225239115,2.8213653474966263e-44,6.635463666584973,3.234840466675978e-11,0.21727870157094825,0.21727870157094825,0.0,0.9974554707379135,1.0
EP300_negation,1.0,1.0,0,-0.249,-15.532733225239115,2.8213653474966263e-44,-6.635463666584973,3.234840466675978e-11,0.21727995611629444,0.21727995611629444,0.0,1.0,1.0
ERCC2,0.8704471147518943,0.9753984355693133,90,0.376,-1.83248703846498,0.06828480268060784,-0.903395132950661,0.3663162221789018,-0.06756606218615044,0.06756606218615044,0.14018691588785046,0.8091603053435115,1.0
ERCC2_negation,0.9999999908783209,0.9999999991516949,0,-0.374,1.83248703846498,0.06828480268060784,0.903395132950661,0.3663162221789018,-0.06756638414194559,0.06756638414194559,0.0,1.0,1.0
ERG,0.21378507342039002,0.4992482239312099,164,0.626,1.9879580471737455,0.04821944895838783,1.74301675818676,0.08133068758871805,0.10634919786693059,0.10634919786693059,0.3644859813084112,0.6819338422391857,1.0
ERG_negation,0.9041828602514764,0.9837568051959631,53,-0.374,-1.9879580471737455,0.04821944895838783,-1.74301675818676,0.08133068758871805,0.10634958505721676,0.10634958505721676,0.009345794392523364,0.8676844783715013,1.0
ESR1,0.24087047759356608,0.5349512274297326,9,0.751,-1.6131281946065426,0.10883105546332307,-2.021129629107661,0.043266347932741867,-0.04161731465972567,0.04161731465972567,0.028037383177570093,0.9847328244274809,1.0
ESR1_negation,0.00024664183169182356,0.002173189580508244,127,-0.624,1.6131281946065426,0.10883105546332307,2.021129629107661,0.043266347932741867,-0.041617452367790214,0.041617452367790214,0.3925233644859813,0.7837150127226463,0.01791928250594517
ESR2,0.9999995420793523,0.9999999735948265,86,0.501,-2.1850294753664774,0.030093055369165945,-1.8879222431713272,0.05903638994483519,-0.09916863944062997,0.09916863944062997,0.09345794392523364,0.806615776081425,1.0
ESR2_negation,0.03036155601985517,0.12608160106169922,118,-0.374,2.1850294753664774,0.030093055369165945,1.8879222431713272,0.05903638994483519,-0.09916908895681377,0.09916908895681377,0.24299065420560748,0.7659033078880407,0.6811304884942372
ESRRA,0.005090899601983541,0.030262828376485414,0,0.501,7.959731950076658,1.099128343797944e-13,5.815087301073386,6.060224991985244e-09,0.14993667712998576,0.14993667712998576,0.0,1.0,0.19220985590470466
ESRRA_negation,0.9999999735424773,0.9999999978311881,4,-0.374,-7.959731950076658,1.099128343797944e-13,-5.815087301073386,6.060224991985244e-09,0.14993734339924703,0.14993734339924703,0.0,0.989821882951654,1.0
ETS1,0.3324823884666839,0.64305401424441,140,0.501,3.0860676614928466,0.002241196664943627,2.8354682660782236,0.0045758560833067796,0.1047138455061986,0.1047138455061986,0.29906542056074764,0.7251908396946565,1.0
ETS1_negation,0.9999999943606112,0.999999999425651,138,-0.499,-3.0860676614928466,0.002241196664943627,-2.8354682660782236,0.0045758560833067796,0.10471425236983296,0.10471425236983296,0.08411214953271028,0.6717557251908397,1.0
ETS2,1.0,1.0,0,0.751,-10.94814395044053,1.6100869881022738e-24,-3.7550897944828856,0.0001732793434655079,-1.0054901950672706,1.0054901950672706,0.0,1.0,1.0
ETS2_negation,0.9999914911858512,0.9999995662199033,0,-0.124,10.94814395044053,1.6100869881022738e-24,3.7550897944828856,0.0001732793434655079,-1.005501780511858,1.005501780511858,0.0,1.0,1.0
ETV1,0.999999840744564,0.9999999900633888,0,0.751,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ETV1_negation,0.999999840744564,0.9999999900633888,0,-0.749,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ETV4,0.009371533226877516,0.04984446474465682,0,0.376,5.194203742995923,5.063439749205813e-07,4.05433471529737,5.027718428431138e-05,0.17023956211916902,0.17023956211916902,0.0,1.0,0.28922096827146554
